" ","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12"
"02138",76,4,39,0,20,0
"02139",75,34,142,0,13,0
"02140",65,20,109,0,0,0
"02141",37,0,92,0,26,0
"02142",0,0,0,0,9,0
"02143",90,42,0,0,9,0
"02144",55,0,43,0,0,0
"02145",28,92,121,3,22,0
"02148",257,132,236,0,193,0
"02149",270,257,47,0,32,0
"02150",45,375,40,0,22,0
"02151",218,177,97,0,27,0
"02152",68,9,0,0,0,0
"02155",303,47,51,0,0,0
"02163",0,0,0,0,0,0
"02169",355,13,67,0,87,0
"02170",200,0,0,0,127,0
"02171",256,0,0,0,62,0
"02176",282,0,7,0,13,0
"02180",196,18,4,0,0,0
"02184",470,94,5,0,56,0
"02186",210,5,141,0,98,0
"02188",114,0,0,0,0,0
"02189",103,75,75,0,14,0
"02190",214,0,13,0,0,0
"02191",44,0,0,0,0,0
"02199",0,0,0,0,0,0
"02203",0,0,0,0,0,0
"02210",0,0,0,0,0,0
"02215",0,0,0,0,0,0
"02301",247,38,520,0,57,0
"02302",292,158,164,0,0,0
"02322",21,0,0,0,0,0
"02324",252,0,1,0,0,0
"02330",209,0,26,0,0,0
"02332",237,0,0,0,0,0
"02333",171,0,0,0,0,0
"02338",10,0,0,0,0,0
"02339",177,0,2,0,0,0
"02341",208,8,0,0,0,0
"02343",58,0,7,0,0,0
"02346",252,0,19,0,0,0
"02347",125,0,0,0,0,0
"02351",197,0,0,0,0,0
"02356",192,17,0,0,0,0
"02357",0,0,0,0,0,0
"02359",247,0,11,0,17,0
"02360",833,28,9,0,0,0
"02364",194,0,0,0,0,0
"02366",0,0,1,0,0,0
"02367",38,0,0,0,0,0
"02368",168,187,452,0,19,0
"02370",125,0,0,0,0,0
"02375",67,0,9,0,0,0
"02379",141,0,8,0,0,0
"02382",332,0,0,0,0,0
"02420",191,0,0,0,80,0
"02421",198,0,12,0,146,0
"02445",93,40,16,0,44,0
"02446",124,0,15,0,37,0
"02451",66,38,22,0,0,0
"02452",44,0,18,0,0,0
"02453",38,98,8,0,0,0
"02457",0,0,0,0,0,0
"02458",36,0,2,0,47,0
"02459",192,0,0,0,30,0
"02460",90,49,0,0,38,0
"02461",36,0,0,0,0,0
"02462",28,0,0,0,0,0
"02464",9,0,0,0,9,0
"02465",128,8,0,0,8,0
"02466",89,0,0,0,53,0
"02467",147,7,0,0,37,0
"02468",70,9,0,0,0,0
"02472",179,99,60,0,29,0
"02474",152,32,34,0,29,0
"02476",120,26,18,0,0,0
"02478",359,0,7,0,32,0
"02481",147,0,0,0,0,0
"02482",207,0,0,0,32,0
"02492",268,0,14,0,43,0
"02493",94,0,0,0,19,0
"02494",63,1,0,0,15,0
"02532",125,0,0,0,0,0
"02534",0,0,0,0,0,0
"02535",0,0,0,0,0,0
"02536",145,0,0,0,0,0
"02537",121,0,0,0,0,0
"02538",11,0,0,0,0,0
"02539",36,0,0,0,0,0
"02540",74,0,0,0,0,0
"02542",16,1,0,0,0,0
"02543",14,0,0,0,0,0
"02553",0,0,0,0,0,0
"02554",93,0,2,0,11,0
"02556",9,0,0,0,0,0
"02557",0,0,0,0,0,0
"02558",62,0,0,0,0,0
"02559",106,0,0,0,0,0
"02561",43,0,0,0,0,0
"02562",71,18,0,0,0,0
"02563",131,0,0,0,24,0
"02564",0,0,0,0,0,0
"02568",17,0,0,0,1,0
"02571",1,0,46,0,0,0
"02575",30,0,0,0,0,0
"02576",19,0,0,0,0,0
"02584",0,0,0,0,0,0
"02601",40,13,6,0,0,0
"02630",23,0,0,0,0,0
"02631",118,3,0,0,0,0
"02632",133,10,0,0,0,0
"02633",33,0,11,0,0,0
"02635",63,0,0,0,0,0
"02637",16,0,0,0,0,0
"02638",23,0,0,0,0,0
"02639",31,0,0,0,0,0
"02641",0,0,0,0,0,0
"02642",15,5,5,0,0,0
"02643",0,0,0,0,0,0
"02644",108,0,0,0,0,0
"02645",157,0,0,0,15,0
"02646",11,0,0,0,0,0
"02647",0,0,0,0,0,0
"02648",99,0,0,0,0,0
"02649",243,0,10,0,0,0
"02650",8,0,36,0,0,0
"02651",0,0,0,0,0,0
"02652",0,0,0,0,0,0
"02653",22,0,0,0,0,0
"02655",80,0,0,0,0,0
"02657",31,0,0,0,12,0
"02659",12,4,4,0,0,0
"02660",121,0,70,0,0,0
"02663",0,0,0,0,0,0
"02664",50,10,6,0,2,0
"02666",6,0,0,0,0,0
"02667",29,1,1,0,0,0
"02668",15,0,0,0,0,0
"02669",0,0,0,0,0,0
"02670",32,7,6,0,0,0
"02671",36,0,0,0,0,0
"02672",30,0,0,0,0,0
"02673",11,9,1,0,0,0
"02675",31,0,0,0,0,0
"02702",102,0,0,0,0,0
"02703",345,50,1,0,34,0
"02713",5,0,0,0,0,0
"02715",35,0,0,0,0,0
"02717",110,0,0,0,0,0
"02718",89,0,29,0,0,0
"02719",210,0,0,0,0,0
"02720",438,33,19,0,22,0
"02721",260,75,35,0,32,0
"02723",213,0,0,0,0,0
"02724",226,57,65,0,0,0
"02725",0,0,0,0,0,0
"02726",239,21,0,0,20,0
"02738",111,0,0,0,0,0
"02739",120,0,0,0,0,0
"02740",292,143,66,11,0,0
"02743",66,19,0,0,0,0
"02744",10,39,18,0,0,10
"02745",211,28,21,0,0,0
"02746",58,51,23,0,0,0
"02747",287,65,8,0,0,0
"02748",124,0,0,0,7,0
"02760",250,0,0,0,0,0
"02762",57,0,0,0,0,0
"02763",33,0,0,0,0,0
"02764",78,1,4,0,0,0
"02766",299,0,4,0,0,0
"02767",117,0,0,0,37,0
"02769",140,0,0,0,0,0
"02770",65,0,0,0,17,0
"02771",153,37,0,0,22,0
"02777",194,0,2,0,0,0
"02779",67,0,0,0,0,0
"02780",416,120,54,0,7,0
"02790",271,0,0,0,0,0
"02791",0,0,0,0,0,0
"02802",0,0,0,0,0,0
"02804",29,0,0,0,0,0
"02806",329,0,27,0,4,0
"02807",5,4,0,0,0,0
"02808",5,0,0,0,0,0
"02809",246,0,0,0,13,0
"02812",31,0,0,0,0,0
"02813",131,0,0,0,0,0
"02814",97,0,0,0,0,0
"02815",0,0,0,0,0,0
"02816",386,0,1,0,0,0
"02817",56,0,0,0,0,0
"02818",293,0,0,0,0,0
"02822",120,24,0,0,6,0
"02825",127,13,0,0,0,0
"02826",0,0,0,0,0,0
"02827",29,0,0,0,0,0
"02828",116,0,0,0,0,0
"02830",35,16,0,0,0,0
"02831",60,0,0,0,0,0
"02832",94,6,0,0,0,0
"02833",0,0,0,0,0,0
"02835",138,17,0,17,0,0
"02836",0,0,0,0,0,0
"02837",54,0,0,0,0,0
"02838",0,0,0,0,0,0
"02839",63,0,0,0,0,0
"02840",185,112,31,0,0,0
"02841",0,0,0,0,0,0
"02842",96,24,1,0,0,0
"02852",289,15,0,0,14,0
"02857",129,0,0,0,0,0
"02858",0,0,0,0,0,0
"02859",111,0,0,0,0,0
"02860",117,89,123,0,0,0
"02861",191,72,51,0,23,0
"02863",20,222,90,0,0,0
"02864",535,60,43,0,0,0
"02865",153,0,0,0,16,0
"02871",171,0,0,0,6,0
"02872",0,0,0,0,0,0
"02873",0,0,0,0,0,0
"02874",80,11,0,0,0,0
"02875",0,0,0,0,0,0
"02876",0,0,0,0,0,0
"02878",202,1,0,0,0,0
"02879",355,46,0,57,6,0
"02881",11,0,0,0,0,0
"02882",239,25,0,0,0,0
"02885",109,0,0,0,0,0
"02886",263,1,0,0,0,0
"02888",261,0,0,0,0,0
"02889",450,41,0,0,0,0
"02891",164,0,0,19,39,0
"02892",17,9,0,0,0,0
"02893",133,37,16,0,13,0
"02894",0,0,0,0,0,0
"02895",351,95,59,0,8,0
"02896",239,0,0,0,0,0
"02898",15,0,0,0,0,0
"02903",5,0,0,0,0,0
"02904",72,137,96,0,13,0
"02905",82,93,50,0,21,0
"02906",131,9,0,0,0,0
"02907",1,472,103,0,42,0
"02908",45,301,147,24,104,0
"02909",59,400,54,15,70,0
"02910",181,37,35,0,0,0
"02911",124,14,73,0,0,0
"02912",0,0,0,0,0,0
"02914",143,16,36,0,0,0
"02915",91,0,0,0,0,0
"02916",15,1,8,0,14,0
"02917",132,0,0,0,7,0
"02919",327,34,0,0,45,0
"02920",385,126,92,0,55,0
"02921",146,14,12,0,19,0
"03031",155,41,0,0,8,0
"03032",65,0,0,0,0,0
"03033",106,0,0,0,0,0
"03034",98,0,0,0,0,0
"03036",25,0,0,0,0,0
"03037",112,0,0,0,0,0
"03038",667,48,22,0,20,0
"03042",84,0,0,0,0,0
"03043",13,0,0,0,0,0
"03044",77,0,0,0,0,0
"03045",135,5,0,0,0,0
"03046",64,3,0,0,0,0
"03047",22,0,0,0,0,0
"03048",73,0,0,0,0,0
"03049",96,0,0,0,0,0
"03051",256,0,0,0,11,0
"03052",165,0,0,0,0,0
"03053",464,0,0,0,17,0
"03054",399,18,0,0,22,0
"03055",187,58,0,0,5,0
"03057",54,0,0,0,0,0
"03060",282,121,48,0,16,0
"03062",223,65,0,0,43,0
"03063",198,15,0,0,0,0
"03064",81,0,23,0,0,0
"03070",59,0,0,0,0,0
"03071",76,0,0,0,0,0
"03076",133,14,0,0,0,0
"03077",115,11,0,0,0,0
"03079",265,27,14,0,15,0
"03082",18,0,0,0,0,0
"03084",22,0,0,0,0,0
"03086",19,0,0,0,0,0
"03087",188,0,0,0,0,0
"03101",0,0,0,0,0,0
"03102",308,21,31,0,6,0
"03103",390,60,76,0,6,0
"03104",179,95,16,0,16,0
"03106",69,0,0,0,0,0
"03109",149,0,0,0,0,0
"03110",349,0,0,0,0,0
"03215",0,0,0,0,0,0
"03216",22,0,0,0,0,0
"03217",35,0,0,0,0,0
"03218",7,0,0,0,0,0
"03220",99,0,0,0,0,0
"03221",32,4,0,0,0,0
"03222",73,0,0,0,0,0
"03223",0,0,0,0,0,0
"03224",29,0,0,0,0,0
"03225",62,0,0,0,0,0
"03226",8,0,0,0,0,0
"03227",5,0,0,0,0,0
"03229",38,0,0,0,0,0
"03230",8,0,0,0,0,0
"03231",0,0,0,0,0,0
"03233",0,0,0,0,0,0
"03234",29,0,0,0,0,0
"03235",25,0,18,0,0,0
"03237",16,0,0,0,0,0
"03238",0,0,0,0,0,0
"03240",36,0,0,0,0,0
"03241",4,0,0,0,0,0
"03242",95,0,0,0,0,0
"03243",32,0,0,0,0,0
"03244",156,0,0,0,0,0
"03245",16,0,0,0,0,0
"03246",247,0,0,0,0,0
"03249",86,30,0,0,26,0
"03251",12,0,0,0,6,0
"03253",149,0,0,0,0,0
"03254",39,0,0,0,0,0
"03255",49,0,0,0,0,0
"03256",49,0,0,0,0,0
"03257",21,0,0,0,0,0
"03258",44,0,0,0,0,0
"03259",3,0,0,0,0,0
"03260",16,0,0,0,0,0
"03261",82,0,0,0,0,0
"03262",22,0,0,0,0,0
"03263",58,0,0,0,0,0
"03264",58,0,0,0,0,0
"03266",40,0,0,0,0,0
"03268",6,0,0,0,0,0
"03269",25,0,0,0,0,0
"03273",6,0,0,0,0,0
