"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"597","Northern Illinois University","60115","Illinois","Dekalb",5212,415,7,434,365,3991,"Dekalb, Illinois"
"598","DeVry Institute of Tech (Oakbrook Terr, IL)","60181","Illinois","Dupage",2319,293,17,172,328,1509,"Dupage, Illinois"
"599","Wheaton College (Wheaton, IL)","60187","Illinois","Dupage",621,10,3,44,22,542,"Dupage, Illinois"
"600","Northwestern Univ","60201","Illinois","Cook",2529,74,1,809,137,1508,"Cook, Illinois"
"601","West Suburban College of Nursing","60302","Illinois","Cook",544,61,1,127,60,295,"Cook, Illinois"
"602","Rosary College","60305","Illinois","Cook",304,18,1,22,53,210,"Cook, Illinois"
"603","College of St Francis","60435","Illinois","Will",1035,77,3,61,64,830,"Will, Illinois"
"604","Lewis University","60441","Illinois","Will",1129,85,2,82,107,853,"Will, Illinois"
"605","Aurora University","60506","Illinois","Kane",754,43,1,56,101,553,"Kane, Illinois"
"606","Benedictine University","60532","Illinois","Dupage",867,64,3,287,49,464,"Dupage, Illinois"
"607","De Paul University","60604","Illinois","Cook",1401,89,3,186,184,939,"Cook, Illinois"
"608","Roosevelt University","60605","Illinois","Cook",365,40,1,66,51,207,"Cook, Illinois"
"609","Columbia College (Chicago, IL)","60605","Illinois","Cook",568,38,1,14,52,463,"Cook, Illinois"
"610","Loyola University of Chicago","60611","Illinois","Cook",2695,84,5,604,209,1793,"Cook, Illinois"
"611","Illinois Institute of Technology","60616","Illinois","Cook",1262,58,10,257,97,840,"Cook, Illinois"
"612","North Park College and Theological Seminary","60625","Illinois","Cook",507,33,2,85,50,337,"Cook, Illinois"
"613","Northeastern Illinois University","60625","Illinois","Cook",874,51,5,211,136,471,"Cook, Illinois"
"614","University of Chicago","60637","Illinois","Cook",1138,52,1,271,110,704,"Cook, Illinois"
"615","St Xavier University","60655","Illinois","Cook",1022,162,6,65,122,667,"Cook, Illinois"
"616","University of Illinois at Chicago","60680","Illinois","Cook",6042,361,13,1995,649,3024,"Cook, Illinois"
"617","Olivet Nazarene University","60901","Illinois","Kankakee",1255,153,3,49,55,995,"Kankakee, Illinois"
"618","Augustana College (Rock Island, IL)","61201","Illinois","Rock Island",822,7,2,36,25,752,"Rock Island, Illinois"
"619","Western Illinois University","61455","Illinois","McDonough",1808,94,5,20,56,1633,"McDonough, Illinois"
"620","Monmouth College","61462","Illinois","Warren",178,6,1,1,10,160,"Warren, Illinois"
"621","St Francis Medical Center College of Nursing","61603","Illinois","Peoria",767,36,2,16,14,699,"Peoria, Illinois"
"622","Bradley University","61625","Illinois","Peoria",1922,62,4,79,74,1703,"Peoria, Illinois"
"623","Illinois Wesleyan University","61702","Illinois","Mclean",485,19,3,34,14,415,"Mclean, Illinois"
"624","Illinois State University","61761","Illinois","McLean",4435,160,12,88,149,4026,"McLean, Illinois"
"625","University of Illinois at Urbana-Champaign","61820","Illinois","Champaign",13680,544,31,2451,741,9913,"Champaign, Illinois"
"626","Eastern Illinois University","61920","Illinois","Coles",1668,117,2,34,42,1473,"Coles, Illinois"
"627","Southern Illinois University at Edwardsville","62026","Illinois","Madison",3340,196,9,86,79,2970,"Madison, Illinois"
"628","McKendree College","62254","Illinois","St Clair",771,52,5,11,17,686,"St Clair, Illinois"
"629","Blessing Rieman College of Nursing","62301","Illinois","Adams",252,12,1,8,4,227,"Adams, Illinois"
"630","Quincy University","62301","Illinois","Adams",242,13,1,5,8,215,"Adams, Illinois"
"631","Millikin University","62522","Illinois","Macon",491,19,2,8,10,452,"Macon, Illinois"
"632","Illinois College","62650","Illinois","Morgan",243,6,2,1,8,226,"Morgan, Illinois"
"633","University of Illinois at Springfield","62794","Illinois","Sangamon",523,33,6,38,9,437,"Sangamon, Illinois"
"634","Southern Illinois University-Carbondale","62901","Illinois","Jackson",5765,708,23,175,271,4588,"Jackson, Illinois"
"635","Logan College of Chiropractic","63006","Missouri","St. Louis",948,29,2,20,17,880,"St. Louis, Missouri"
"636","St Louis University, Main Campus","63103","Missouri","St Louis City",3104,139,4,287,88,2586,"St Louis City, Missouri"
"637","ITT Technical Institute (St Louis, MO)","63108","Missouri","St Louis City",169,41,1,6,2,119,"St Louis City, Missouri"
"638","Ranken Technical College","63113","Missouri","St Louis City",78,10,1,1,1,65,"St Louis City, Missouri"
"639","Webster University","63119","Missouri","St Louis",629,85,1,18,9,516,"St Louis, Missouri"
"640","University of Missouri, St Louis","63121","Missouri","St Louis",1770,228,5,93,35,1409,"St Louis, Missouri"
"641","Maryville University of St Louis","63141","Missouri","St Louis",1252,69,3,20,16,1144,"St Louis, Missouri"
"642","Lindenwood College","63301","Missouri","St Charles",599,99,6,8,13,473,"St Charles, Missouri"
"643","Truman State University","63501","Missouri","Adair",1715,52,12,59,40,1552,"Adair, Missouri"
"644","Southeast Missouri State University","63701","Missouri","Cape Girardeau",1462,72,3,13,9,1365,"Cape Girardeau, Missouri"
"645","William Jewell College","64068","Missouri","Clay",408,14,2,22,10,360,"Clay, Missouri"
"646","Central Missouri State University","64093","Missouri","Johnson",1936,119,7,28,25,1757,"Johnson, Missouri"
"647","University of Missouri, Kansas City","64110","Missouri","Jackson",2099,176,13,221,101,1588,"Jackson, Missouri"
"648","Rockhurst College","64110","Missouri","Jackson",1012,49,9,47,39,868,"Jackson, Missouri"
"649","DeVry Institute of Tech (Kansas City, MO)","64131","Missouri","Jackson",369,24,6,14,12,313,"Jackson, Missouri"
"650","Cleveland Chiropractic College of Kansas City","64131","Missouri","Jackson",132,2,3,4,5,118,"Jackson, Missouri"
"651","Research College of Nursing","64132","Missouri","Jackson",505,28,10,20,13,434,"Jackson, Missouri"
"652","Avila College","64145","Missouri","Jackson",426,43,2,7,19,355,"Jackson, Missouri"
"653","Missouri Western State College","64507","Missouri","Buchanan",889,33,7,8,15,826,"Buchanan, Missouri"
"654","Missouri Southern State College","64801","Missouri","Jasper",836,14,23,18,22,759,"Jasper, Missouri"
"655","Lincoln University (Jefferson City, MO)","65102","Missouri","Cole",314,89,3,8,5,209,"Cole, Missouri"
"656","University of Missouri, Columbia","65211","Missouri","Boone",7203,332,39,245,121,6466,"Boone, Missouri"
"657","Stephens College","65215","Missouri","Boone",160,22,5,9,8,116,"Boone, Missouri"
"658","Columbia College (Columbia, MO)","65216","Missouri","Boone",326,24,1,7,13,281,"Boone, Missouri"
"659","Central Methodist College","65248","Missouri","Howard",287,4,2,4,6,271,"Howard, Missouri"
"660","Westminster College (Fulton, MO)","65251","Missouri","Callaway",187,7,4,4,2,170,"Callaway, Missouri"
"661","University of Missouri, Rolla","65401","Missouri","Phelps",4202,194,26,113,86,3783,"Phelps, Missouri"
"662","Southwest Baptist University","65613","Missouri","Polk",415,10,4,5,1,395,"Polk, Missouri"
"663","College of the Ozarks","65726","Missouri","Taney",311,3,1,1,5,301,"Taney, Missouri"
"664","Drury College","65802","Missouri","Greene",744,24,5,26,12,677,"Greene, Missouri"
"665","Southwest Missouri State University","65804","Missouri","Greene",2595,46,22,54,42,2431,"Greene, Missouri"
"666","Benedictine College","66002","Kansas","Atchison",203,2,2,3,17,179,"Atchison, Kansas"
"667","Baker University","66006","Kansas","Douglas",555,37,9,11,12,486,"Douglas, Kansas"
"668","University of Kansas, Main Campus","66045","Kansas","Douglas",4909,135,30,343,195,4206,"Douglas, Kansas"
"669","St Mary College","66048","Kansas","Leavenworth",301,17,2,8,22,252,"Leavenworth, Kansas"
"670","Mid-America Nazarene College","66061","Kansas","Johnson",592,106,3,19,18,446,"Johnson, Kansas"
"671","Ottawa University","66067","Kansas","Franklin",235,26,6,5,17,181,"Franklin, Kansas"
"672","Kansas State University","66506","Kansas","Riley",5474,84,23,76,223,5068,"Riley, Kansas"
"673","Washburn University of Topeka","66621","Kansas","Shawnee",1019,54,10,20,44,891,"Shawnee, Kansas"
"674","Pittsburg State University","66762","Kansas","Crawford",1549,23,33,21,36,1436,"Crawford, Kansas"
"675","Emporia State University","66801","Kansas","Lyon",683,22,6,11,25,619,"Lyon, Kansas"
"676","Bethel College (North Newton, KS)","67117","Kansas","Harvey",162,11,2,2,8,139,"Harvey, Kansas"
"677","Southwestern College (Winfield, KS)","67156","Kansas","Cowley",429,32,4,15,29,349,"Cowley, Kansas"
"678","Wichita State University","67208","Kansas","Sedgwick",2507,114,30,278,132,1953,"Sedgwick, Kansas"
"679","Kansas Newman College","67213","Kansas","Sedgwick",414,12,3,32,31,336,"Sedgwick, Kansas"
"680","Friends University","67213","Kansas","Sedgwick",299,21,7,4,8,259,"Sedgwick, Kansas"
"681","Kansas Wesleyan University","67401","Kansas","Saline",259,10,1,7,20,221,"Saline, Kansas"
"682","McPherson College","67460","Kansas","McPherson",185,3,2,1,14,165,"McPherson, Kansas"
"683","Fort Hays State University","67601","Kansas","Ellis",1219,15,4,12,46,1142,"Ellis, Kansas"
"684","Bellevue University","68005","Nebraska","Sarpy",1632,209,6,66,67,1284,"Sarpy, Nebraska"
"685","Midland Lutheran College","68025","Nebraska","Dodge",235,13,1,4,5,212,"Dodge, Nebraska"
"686","Nebraska Methodist Col Nursing & Allied Hlth","68114","Nebraska","Douglas",666,13,4,27,12,610,"Douglas, Nebraska"
"687","College of St Mary","68124","Nebraska","Douglas",311,16,3,5,17,270,"Douglas, Nebraska"
"688","Clarkson College","68131","Nebraska","Douglas",641,27,3,7,17,587,"Douglas, Nebraska"
"689","Creighton University","68178","Nebraska","Douglas",2264,40,13,272,52,1887,"Douglas, Nebraska"
"690","University of Nebraska at Omaha","68182","Nebraska","Douglas",1376,57,2,63,56,1198,"Douglas, Nebraska"
"691","University of Nebraska Medical Center","68198","Nebraska","Douglas",2106,21,14,49,72,1950,"Douglas, Nebraska"
"692","Union College (Lincoln, NE)","68506","Nebraska","Lancaster",271,6,3,8,25,229,"Lancaster, Nebraska"
"693","University of Nebraska at Lincoln","68588","Nebraska","Lancaster",4646,52,14,177,136,4267,"Lancaster, Nebraska"
"694","Wayne State College","68787","Nebraska","Wayne",399,5,1,3,7,383,"Wayne, Nebraska"
"695","Chadron State College","69337","Nebraska","Dawes",295,3,1,2,9,280,"Dawes, Nebraska"
"696","Louisiana State Univ Medical Center","70112","Louisiana","Orleans Parish",1464,149,2,101,60,1152,"Orleans Parish, Louisiana"
"697","Tulane University","70118","Louisiana","Orleans Parish",1516,108,12,168,62,1166,"Orleans Parish, Louisiana"
"698","Xavier University of Louisiana","70125","Louisiana","Orleans Parish",823,698,1,93,23,8,"Orleans Parish, Louisiana"
"699","Southern University at New Orleans","70126","Louisiana","Orleans Parish",142,129,1,6,1,5,"Orleans Parish, Louisiana"
"700","Our Lady of Holy Cross College","70131","Louisiana","Orleans Parish",312,47,3,15,15,232,"Orleans Parish, Louisiana"
"701","University of New Orleans","70148","Louisiana","Orleans Parish",1016,121,2,125,91,677,"Orleans Parish, Louisiana"
"702","Nicholls State University","70310","Louisiana","Lafourche Parish",1223,128,20,12,20,1043,"Lafourche Parish, Louisiana"
"703","Southeastern Louisiana University","70402","Louisiana","Tangipahoa Parish",1894,188,6,25,47,1628,"Tangipahoa Parish, Louisiana"
"704","University of Southwestern Louisiana","70504","Louisiana","Lafayette Parish",2747,261,7,86,53,2340,"Lafayette Parish, Louisiana"
"705","McNeese State University","70609","Louisiana","Calcasieu Parish",1726,228,14,36,24,1424,"Calcasieu Parish, Louisiana"
"706","Louisiana State Univ & Agric & Mechanical Col","70803","Louisiana","East Baton Rouge Parish",5555,390,21,334,199,4611,"East Baton Rouge Parish, Louisiana"
"707","Our Lady of the Lake College","70808","Louisiana","East Baton Rouge Parish",377,90,4,24,10,249,"East Baton Rouge Parish, Louisiana"
"708","Southern University A&M Col at Baton Rouge","70813","Louisiana","East Baton Rouge Parish",1635,1522,1,13,10,89,"East Baton Rouge Parish, Louisiana"
"709","Louisiana State Univ in Shreveport","71115","Louisiana","Caddo Parish",461,94,1,7,29,330,"Caddo Parish, Louisiana"
"710","Centenary College of Louisiana","71134","Louisiana","Caddo Parish",260,12,1,14,10,223,"Caddo Parish, Louisiana"
"711","Northeast Louisiana University","71209","Louisiana","Ouachita Parish",1783,319,6,70,29,1359,"Ouachita Parish, Louisiana"
"712","Grambling State University","71245","Louisiana","Lincoln Parish",810,712,1,5,7,85,"Lincoln Parish, Louisiana"
"713","Louisiana Tech University","71272","Louisiana","Lincoln Parish",1954,218,12,20,17,1687,"Lincoln Parish, Louisiana"
"714","Louisiana College","71359","Louisiana","Rapides Parish",259,31,2,12,1,213,"Rapides Parish, Louisiana"
"715","Northwest State University","71497","Louisiana","Natchitoches Parish",1611,352,21,27,45,1166,"Natchitoches Parish, Louisiana"
"716","Southern Arkansas University, All Campuses","71753","Arkansas","Columbia",324,44,3,2,10,265,"Columbia, Arkansas"
"717","University of Central Arkansas","72032","Arkansas","Faulkner",2219,287,18,77,56,1781,"Faulkner, Arkansas"
"718","Hendrix College","72032","Arkansas","Faulkner",425,18,4,26,13,364,"Faulkner, Arkansas"
"719","Harding University, All Campuses","72143","Arkansas","White",996,26,2,12,23,933,"White, Arkansas"
"720","University of Arkansas at Little Rock","72204","Arkansas","Pulaski",1725,402,14,66,39,1204,"Pulaski, Arkansas"
"721","University of Arkansas for Medical Sciences","72205","Arkansas","Pulaski",1523,146,14,33,43,1287,"Pulaski, Arkansas"
"722","Arkansas State University, All Campuses","72467","Arkansas","Craighead",2195,194,6,24,32,1939,"Craighead, Arkansas"
"723","Lyon College","72503","Arkansas","Independence",140,1,3,2,7,127,"Independence, Arkansas"
"724","University of Arkansas, Main Campus","72701","Arkansas","Washington",3789,142,79,166,131,3271,"Washington, Arkansas"
"725","John Brown University","72761","Arkansas","Benton",174,1,3,4,4,162,"Benton, Arkansas"
"726","Arkansas Tech University","72801","Arkansas","Pope",1479,51,20,24,32,1352,"Pope, Arkansas"
"727","Westark Community College","72913","Arkansas","Sebastian",552,16,22,49,21,444,"Sebastian, Arkansas"
"728","Southern Nazarene University","73008","Oklahoma","Oklahoma",422,33,23,20,19,327,"Oklahoma, Oklahoma"
"729","University of Science and Arts of Oklahoma","73018","Oklahoma","Grady",129,4,9,3,9,104,"Grady, Oklahoma"
"730","University of Oklahoma, Norman Campus","73019","Oklahoma","Cleveland",3796,180,230,445,119,2822,"Cleveland, Oklahoma"
"731","University of Central Oklahoma","73034","Oklahoma","Oklahoma",1843,172,88,130,93,1360,"Oklahoma, Oklahoma"
"732","Langston University","73050","Oklahoma","Logan",518,325,20,10,9,154,"Logan, Oklahoma"
"733","Southwestern Oklahoma State University","73096","Oklahoma","Custer",997,60,46,33,43,815,"Custer, Oklahoma"
"734","Oklahoma City University","73106","Oklahoma","Oklahoma",784,102,44,60,54,524,"Oklahoma, Oklahoma"
"735","Oklahoma Christian University of Science/Arts","73136","Oklahoma","Oklahoma",393,13,16,16,7,341,"Oklahoma, Oklahoma"
"736","University of Oklahoma Health Sciences Center","73190","Oklahoma","Oklahoma",3113,113,215,233,144,2408,"Oklahoma, Oklahoma"
"737","Cameron University","73505","Oklahoma","Comanche",331,27,19,16,23,246,"Comanche, Oklahoma"
"738","Northwestern Oklahoma State University","73717","Oklahoma","Woods",236,2,7,3,6,218,"Woods, Oklahoma"
"739","Oklahoma Panhandle State University","73939","Oklahoma","Texas",426,17,29,1,32,347,"Texas, Oklahoma"
"740","Bartlesville Wesleyan College","74006","Oklahoma","Washington",608,45,67,5,15,476,"Washington, Oklahoma"
"741","Rogers State College","74017","Oklahoma","Rogers",272,6,34,4,9,219,"Rogers, Oklahoma"
"742","Oklahoma State University, All Campuses","74078","Oklahoma","Payne",5108,125,420,109,164,4290,"Payne, Oklahoma"
"743","University of Tulsa","74104","Oklahoma","Tulsa",1114,50,48,53,59,904,"Tulsa, Oklahoma"
"744","Spartan School of Aeronautics","74158","Oklahoma","Tulsa",77,7,2,3,9,56,"Tulsa, Oklahoma"
"745","Oral Roberts University","74171","Oklahoma","Tulsa",319,39,9,19,20,232,"Tulsa, Oklahoma"
"746","Northeastern State University","74464","Oklahoma","Cherokee",1336,60,348,32,44,852,"Cherokee, Oklahoma"
"747","Southeastern Oklahoma State University","74701","Oklahoma","Bryan",678,25,222,11,17,403,"Bryan, Oklahoma"
"748","Oklahoma Baptist University","74801","Oklahoma","Pottawatomie",338,16,23,6,11,282,"Pottawatomie, Oklahoma"
"749","East Central University","74820","Oklahoma","Pontotoc",776,23,174,5,27,547,"Pontotoc, Oklahoma"
"750","DeVry Institute of Tech (Irving, TX)","75038","Texas","Dallas",499,104,3,47,128,217,"Dallas, Texas"
"751","University of Texas at Dallas","75083","Texas","Dallas",3174,197,10,939,338,1690,"Dallas, Texas"
"752","Austin College","75090","Texas","Grayson",263,2,1,65,19,176,"Grayson, Texas"
"753","Dallas Baptist University","75211","Texas","Dallas",289,57,3,15,29,185,"Dallas, Texas"
"754","Parker College of Chiropractic","75229","Texas","Dallas",996,51,9,71,92,773,"Dallas, Texas"
"755","Baylor College of Dentistry","75246","Texas","Dallas",402,9,1,27,32,333,"Dallas, Texas"
"756","Southern Methodist University","75275","Texas","Dallas",1227,47,10,140,121,909,"Dallas, Texas"
"757","Texas A&M University-Commerce","75429","Texas","Hunt",866,93,9,25,79,660,"Hunt, Texas"
