"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"914","San Jose State University","95192","California","Santa Clara",4815,166,21,2404,736,1488,"Santa Clara, California"
"915","University of the Pacific","95211","California","San Joaquin",1130,18,3,597,139,373,"San Joaquin, California"
"916","California State University-Stanislaus","95380","California","Stanislaus",984,22,9,217,226,510,"Stanislaus, California"
"917","Humboldt State University","95521","California","Humboldt",1700,16,32,72,198,1382,"Humboldt, California"
"918","University of California-Davis","95616","California","Yolo",12307,255,67,5928,1248,4809,"Yolo, California"
"919","California State University-Sacramento","95819","California","Sacramento",4002,179,29,1153,584,2057,"Sacramento, California"
"920","California State University-Chico","95929","California","Butte",4064,56,48,338,522,3100,"Butte, California"
"921","Simpson College (Redding, CA)","96003","California","Shasta",123,3,3,7,5,105,"Shasta, California"
"922","University of Hawaii at Hilo","96720","Hawaii","Hawaii",932,7,8,444,75,398,"Hawaii, Hawaii"
"923","Brigham Young University, Hawaii Campus","96762","Hawaii","Honolulu",113,2,2,44,3,62,"Honolulu, Hawaii"
"924","Hawaii Pacific University","96813","Hawaii","Honolulu",1412,32,11,782,163,424,"Honolulu, Hawaii"
"925","Chaminade University of Honolulu","96816","Hawaii","Honolulu",99,1,2,66,8,22,"Honolulu, Hawaii"
"926","University of Hawaii at Manoa","96822","Hawaii","Honolulu",2867,24,9,2074,133,627,"Honolulu, Hawaii"
"927","Pacific University","97116","Oregon","Washington",704,8,6,195,30,465,"Washington, Oregon"
"928","George Fox College","97132","Oregon","Yamhill",414,5,8,27,15,359,"Yamhill, Oregon"
"929","Oregon Health Sciences University","97201","Oregon","Multnomah",1405,14,14,59,53,1265,"Multnomah, Oregon"
"930","Reed College","97202","Oregon","Multnomah",318,7,6,40,15,250,"Multnomah, Oregon"
"931","University of Portland","97203","Oregon","Multnomah",1921,30,17,254,89,1531,"Multnomah, Oregon"
"932","Portland State University","97207","Oregon","Multnomah",3202,87,47,361,182,2525,"Multnomah, Oregon"
"933","Concordia University (Portland, OR)","97211","Oregon","Multnomah",305,13,3,24,15,250,"Multnomah, Oregon"
"934","Warner Pacific College","97215","Oregon","Multnomah",49,3,1,4,5,36,"Multnomah, Oregon"
"935","Lewis and Clark College","97219","Oregon","Multnomah",297,4,1,33,16,243,"Multnomah, Oregon"
"936","Willamette University","97301","Oregon","Marion",404,7,2,55,19,321,"Marion, Oregon"
"937","Oregon State University","97331","Oregon","Benton",6342,47,78,599,251,5367,"Benton, Oregon"
"938","Western Oregon State College","97361","Oregon","Polk",853,17,11,33,62,730,"Polk, Oregon"
"939","University of Oregon","97403","Oregon","Lane",2362,23,22,219,91,2007,"Lane, Oregon"
"940","Southern Oregon State College","97520","Oregon","Jackson",428,6,8,10,11,393,"Jackson, Oregon"
"941","Oregon Institute of Technology","97601","Oregon","Klamath",2073,25,27,156,103,1762,"Klamath, Oregon"
"942","Eastern Oregon State College","97850","Oregon","Union",172,2,4,12,4,150,"Union, Oregon"
"943","Northwest College (Kirkland, WA)","98083","Washington","King",157,4,4,9,9,131,"King, Washington"
"944","John Bastyr College of Naturopathic Medicine","98105","Washington","King",218,5,3,21,13,176,"King, Washington"
"945","Seattle Pacific University","98119","Washington","King",834,29,8,82,22,693,"King, Washington"
"946","Seattle University","98122","Washington","King",1488,54,17,401,94,922,"King, Washington"
"947","ITT Technical Institute (Seattle, WA; FICE=8443)","98168","Washington","King",192,16,4,23,11,138,"King, Washington"
"948","University of Washington - Seattle","98195","Washington","King",13599,447,132,4286,647,8087,"King, Washington"
"949","Western Washington University","98225","Washington","Whatcom",3102,33,49,193,135,2692,"Whatcom, Washington"
"950","Olympic College","98310","Washington","Kitsap",67,3,1,6,6,51,"Kitsap, Washington"
