 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Hamilton County, Florida,8,38,102,0,5,0
Hardee County, Florida,171,125,2,0,32,0
Hendry County, Florida,271,103,120,21,0,0
Hernando County, Florida,244,1368,192,0,9,0
Highlands County, Florida,138,566,257,0,15,16
Hillsborough County, Florida,4765,7056,4879,83,527,25
Holmes County, Florida,2,141,51,0,0,0
Indian River County, Florida,77,873,227,0,80,0
Jackson County, Florida,50,438,255,0,4,0
Jefferson County, Florida,0,136,136,0,0,0
Lafayette County, Florida,130,65,24,0,0,0
Lake County, Florida,607,2724,660,22,64,0
Lee County, Florida,2171,4305,1357,112,155,15
Leon County, Florida,206,1471,1655,38,58,0
Levy County, Florida,14,378,190,0,0,0
Liberty County, Florida,0,49,32,38,0,0
Madison County, Florida,3,96,124,0,0,0
Manatee County, Florida,534,2367,246,0,99,0
Marion County, Florida,802,2218,839,45,47,0
Martin County, Florida,311,1153,298,0,11,0
Miami-Dade County, Florida,23399,4231,10700,0,544,2
Monroe County, Florida,114,439,56,0,41,0
Nassau County, Florida,86,803,132,0,0,0
Okaloosa County, Florida,327,1453,296,41,84,0
Okeechobee County, Florida,169,437,120,0,0,0
Orange County, Florida,5256,5477,4615,25,778,17
Osceola County, Florida,2209,1032,810,0,208,0
Palm Beach County, Florida,4155,7345,4521,85,499,0
Pasco County, Florida,1036,3313,618,17,245,0
Pinellas County, Florida,1469,6348,1503,23,383,0
Polk County, Florida,1895,3889,1389,14,202,37
Putnam County, Florida,116,600,155,4,0,6
St. Johns County, Florida,252,2126,247,25,64,0
St. Lucie County, Florida,683,1669,985,0,0,0
Santa Rosa County, Florida,61,1786,116,0,130,1
Sarasota County, Florida,482,2809,400,8,37,0
Seminole County, Florida,1597,3772,698,66,163,0
Sumter County, Florida,86,425,388,16,0,5
Suwannee County, Florida,29,167,125,0,33,0
Taylor County, Florida,0,312,26,0,0,0
Union County, Florida,82,78,4,0,0,0
Volusia County, Florida,1026,3384,873,9,42,0
Wakulla County, Florida,0,353,197,0,0,0
