 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Saunders County, Nebraska,0,308,0,0,0,0
Scotts Bluff County, Nebraska,117,302,0,3,5,0
Seward County, Nebraska,0,244,0,0,0,0
Sheridan County, Nebraska,0,47,0,3,0,0
Sherman County, Nebraska,0,36,0,0,0,0
Sioux County, Nebraska,0,17,0,0,0,0
Stanton County, Nebraska,0,48,1,0,0,0
Thayer County, Nebraska,0,99,0,0,0,0
Thomas County, Nebraska,0,7,0,3,0,0
Thurston County, Nebraska,31,36,0,106,0,0
Valley County, Nebraska,0,35,0,0,0,0
Washington County, Nebraska,47,368,0,0,0,0
Wayne County, Nebraska,7,63,0,0,0,0
Webster County, Nebraska,3,54,0,0,0,0
Wheeler County, Nebraska,0,24,0,0,0,0
York County, Nebraska,14,117,6,0,0,0
Churchill County, Nevada,111,193,2,32,13,0
Clark County, Nevada,11553,9494,4215,155,2283,301
Douglas County, Nevada,188,433,1,62,0,0
Elko County, Nevada,180,500,27,34,0,3
Esmeralda County, Nevada,5,4,0,0,0,0
Eureka County, Nevada,5,25,0,0,0,0
Humboldt County, Nevada,70,122,9,15,5,0
Lander County, Nevada,23,81,4,2,0,0
Lincoln County, Nevada,28,213,4,0,0,0
Lyon County, Nevada,187,580,9,45,0,0
Mineral County, Nevada,3,30,2,14,0,0
Nye County, Nevada,179,433,47,0,0,31
Pershing County, Nevada,99,148,48,7,1,0
Storey County, Nevada,0,39,5,0,0,0
Washoe County, Nevada,2252,3061,276,122,324,9
White Pine County, Nevada,134,133,16,8,2,0
Carson City, Nevada,404,546,20,41,9,8
Belknap County, New Hampshire,30,919,0,0,26,0
Carroll County, New Hampshire,0,474,34,0,0,0
Cheshire County, New Hampshire,44,721,3,14,9,0
Coos County, New Hampshire,6,458,5,12,10,0
Grafton County, New Hampshire,41,929,0,0,10,0
Hillsborough County, New Hampshire,520,4624,194,16,152,0
Merrimack County, New Hampshire,82,1762,23,0,1,0
Rockingham County, New Hampshire,109,4229,77,0,109,6
Strafford County, New Hampshire,114,1466,1,0,27,0
Sullivan County, New Hampshire,0,555,0,0,7,0
Atlantic County, New Jersey,639,1853,619,0,297,0
Bergen County, New Jersey,2609,7400,708,72,2001,0
Burlington County, New Jersey,747,4531,1460,13,274,25
Camden County, New Jersey,1442,3723,2050,55,383,0
Cape May County, New Jersey,67,1084,162,16,23,6
Cumberland County, New Jersey,906,815,787,13,33,0
Essex County, New Jersey,2745,3007,5604,37,319,0
Gloucester County, New Jersey,335,3077,557,0,76,0
Hudson County, New Jersey,4701,1178,1368,0,797,0
Hunterdon County, New Jersey,186,1574,210,0,119,0
Mercer County, New Jersey,685,2293,1499,23,339,0
Middlesex County, New Jersey,2963,4777,1437,37,2205,0
Monmouth County, New Jersey,832,7233,823,0,471,1
Morris County, New Jersey,1021,5633,260,11,437,0
Ocean County, New Jersey,926,5788,296,0,125,0
Passaic County, New Jersey,3227,2768,1578,64,406,0
Salem County, New Jersey,110,545,184,0,8,0
Somerset County, New Jersey,974,2859,433,0,561,0
Sussex County, New Jersey,165,2104,80,0,48,0
Union County, New Jersey,2330,3048,2193,22,288,5
Warren County, New Jersey,159,1249,22,0,20,0
Bernalillo County, New Mexico,5449,2812,440,404,302,0
Catron County, New Mexico,9,101,0,0,0,0
Chaves County, New Mexico,589,237,28,26,11,0
Cibola County, New Mexico,338,71,0,338,0,0
Colfax County, New Mexico,94,93,14,0,34,0
Curry County, New Mexico,292,399,47,138,0,0
De Baca County, New Mexico,32,0,0,0,0,0
Dona Ana County, New Mexico,2746,430,99,14,58,0
Eddy County, New Mexico,370,481,14,18,0,0
Grant County, New Mexico,162,67,0,0,0,0
Guadalupe County, New Mexico,60,0,0,11,0,0
Harding County, New Mexico,11,17,0,0,0,0
Hidalgo County, New Mexico,68,0,8,0,0,0
Lea County, New Mexico,1014,319,11,7,0,0
Lincoln County, New Mexico,232,58,0,0,0,0
Los Alamos County, New Mexico,63,137,0,0,8,0
Luna County, New Mexico,174,130,0,0,0,0
McKinley County, New Mexico,283,68,0,1154,20,4
Mora County, New Mexico,11,0,0,0,0,0
Otero County, New Mexico,611,369,74,31,18,0
Quay County, New Mexico,171,90,47,0,0,0
Rio Arriba County, New Mexico,428,23,0,119,0,0
Roosevelt County, New Mexico,141,154,0,0,0,0
Sandoval County, New Mexico,965,586,54,252,8,0
San Juan County, New Mexico,475,474,0,1115,0,0
San Miguel County, New Mexico,511,43,0,4,0,0
Santa Fe County, New Mexico,1208,413,5,73,9,0
Sierra County, New Mexico,121,16,0,2,0,0
Socorro County, New Mexico,151,182,10,21,0,0
Taos County, New Mexico,414,58,0,18,0,0
Torrance County, New Mexico,118,176,0,0,0,0
Union County, New Mexico,6,23,0,0,0,0
Valencia County, New Mexico,785,269,9,74,0,0
Albany County, New York,198,2351,731,0,208,27
Allegany County, New York,4,478,0,0,50,0
Bronx County, New York,14228,1084,8703,172,699,6
Broome County, New York,214,2191,171,20,29,0
Cattaraugus County, New York,28,831,74,42,0,0
Cayuga County, New York,36,963,23,0,21,0
Chautauqua County, New York,77,1454,169,0,6,0
Chemung County, New York,81,1025,220,0,0,0
Chenango County, New York,40,745,2,0,0,0
Clinton County, New York,20,985,53,2,31,0
Columbia County, New York,71,700,102,0,28,0
Cortland County, New York,39,538,2,8,0,0
Delaware County, New York,16,409,6,0,15,0
Dutchess County, New York,831,3189,604,18,105,0
Erie County, New York,853,8932,2203,70,180,0
Essex County, New York,24,514,90,0,0,0
Franklin County, New York,0,634,1,44,1,0
Fulton County, New York,16,826,34,0,0,0
Genesee County, New York,45,729,71,28,5,0
Greene County, New York,66,505,21,0,9,0
Hamilton County, New York,0,64,0,0,0,0
Herkimer County, New York,20,825,5,13,0,0
Jefferson County, New York,80,1193,53,25,11,0
Kings County, New York,9074,9563,16011,311,3751,0
Lewis County, New York,0,458,2,0,0,0
Livingston County, New York,16,919,17,0,0,0
Madison County, New York,7,905,16,0,0,0
Monroe County, New York,1084,6622,2350,57,296,0
Montgomery County, New York,207,518,6,0,9,0
Nassau County, New York,3305,11928,2631,227,1879,0
New York County, New York,7238,2340,3754,72,1034,0
Niagara County, New York,126,2033,303,50,0,0
Oneida County, New York,278,2859,286,0,78,0
Onondaga County, New York,631,4298,1082,16,267,0
Ontario County, New York,129,1093,5,0,60,0
Orange County, New York,1798,4111,976,19,204,0
Orleans County, New York,17,476,132,0,0,0
Oswego County, New York,95,1434,3,7,24,0
Otsego County, New York,68,577,82,0,1,0
Putnam County, New York,212,1137,70,0,53,0
Queens County, New York,9478,4910,7769,141,6452,0
Rensselaer County, New York,97,1482,143,10,16,0
Richmond County, New York,1671,3452,1463,9,509,0
Rockland County, New York,890,3602,763,9,245,0
St. Lawrence County, New York,58,1007,171,20,10,0
Saratoga County, New York,77,2748,134,12,38,0
Schenectady County, New York,243,1358,190,16,58,0
Schoharie County, New York,9,479,3,0,3,0
Schuyler County, New York,8,330,29,0,0,0
Seneca County, New York,2,343,0,0,6,0
Steuben County, New York,54,1395,56,0,8,0
Suffolk County, New York,4787,15465,2054,98,587,0
Sullivan County, New York,247,833,177,0,24,0
Tioga County, New York,24,685,3,0,0,0
Tompkins County, New York,54,828,23,0,104,0
Ulster County, New York,334,1699,381,0,72,0
Warren County, New York,14,839,8,0,23,0
Washington County, New York,72,762,131,18,2,0
Wayne County, New York,69,1262,39,0,8,0
Westchester County, New York,3950,7193,2434,24,620,0
Wyoming County, New York,43,542,22,8,6,0
Yates County, New York,14,220,11,0,0,0
Alamance County, North Carolina,231,1335,667,1,44,0
Alexander County, North Carolina,6,360,62,3,0,0
Alleghany County, North Carolina,34,37,10,27,23,0
Anson County, North Carolina,5,135,293,0,0,0
Ashe County, North Carolina,0,202,8,0,0,0
Avery County, North Carolina,36,275,21,5,0,5
Beaufort County, North Carolina,28,232,360,0,0,0
Bertie County, North Carolina,0,98,277,0,0,0
Bladen County, North Carolina,132,222,236,5,0,0
Brunswick County, North Carolina,72,909,56,0,4,0
Buncombe County, North Carolina,210,2097,286,0,5,0
Burke County, North Carolina,123,1295,300,0,248,0
Cabarrus County, North Carolina,244,1777,489,15,60,0
Caldwell County, North Carolina,61,1155,52,27,0,0
Camden County, North Carolina,35,221,22,0,13,0
Carteret County, North Carolina,3,650,54,0,16,0
Caswell County, North Carolina,0,186,184,0,0,0
Catawba County, North Carolina,192,1796,135,10,130,0
Chatham County, North Carolina,173,277,135,0,0,0
Cherokee County, North Carolina,0,321,0,42,0,0
Chowan County, North Carolina,32,102,135,0,0,0
Clay County, North Carolina,0,105,0,0,0,0
Cleveland County, North Carolina,37,595,376,0,11,0
Columbus County, North Carolina,88,564,426,22,0,0
Craven County, North Carolina,48,565,428,33,23,0
Cumberland County, North Carolina,376,1794,1843,65,37,67
Currituck County, North Carolina,32,308,0,0,17,0
Dare County, North Carolina,12,499,69,0,0,0
Davidson County, North Carolina,174,1890,294,0,58,0
Davie County, North Carolina,41,491,72,11,0,0
Duplin County, North Carolina,67,253,460,0,0,0
Durham County, North Carolina,638,718,1882,35,63,0
Edgecombe County, North Carolina,31,239,633,0,0,0
Forsyth County, North Carolina,598,2378,1731,0,90,9
Franklin County, North Carolina,73,521,357,16,0,0
Gaston County, North Carolina,54,1904,607,0,78,0
Gates County, North Carolina,0,36,55,0,0,0
Graham County, North Carolina,3,61,1,42,0,0
Granville County, North Carolina,23,386,240,0,0,15
Greene County, North Carolina,42,152,141,0,0,0
Guilford County, North Carolina,614,2988,3040,26,482,0
Halifax County, North Carolina,20,356,612,25,0,0
Harnett County, North Carolina,125,911,349,29,0,0
Haywood County, North Carolina,7,800,21,0,0,0
Henderson County, North Carolina,28,1031,83,0,8,0
Hertford County, North Carolina,57,204,320,3,0,0
Hoke County, North Carolina,105,164,301,11,26,0
Hyde County, North Carolina,0,0,64,0,0,0
Iredell County, North Carolina,258,1726,291,0,109,10
Jackson County, North Carolina,0,255,3,31,0,0
Johnston County, North Carolina,333,1337,655,0,0,0
Jones County, North Carolina,18,62,64,0,0,0
Lee County, North Carolina,270,391,130,45,0,0
Lenoir County, North Carolina,82,554,419,12,19,0
Lincoln County, North Carolina,148,901,77,0,15,0
McDowell County, North Carolina,41,516,52,6,13,0
Macon County, North Carolina,45,251,11,9,1,0
Madison County, North Carolina,0,241,0,0,0,0
Martin County, North Carolina,41,132,170,0,0,0
Mecklenburg County, North Carolina,1510,5056,5939,0,506,0
Mitchell County, North Carolina,29,149,7,3,0,0
Montgomery County, North Carolina,90,152,94,0,6,0
Moore County, North Carolina,151,739,165,0,0,0
Nash County, North Carolina,236,682,795,0,15,0
New Hanover County, North Carolina,60,1405,792,21,86,0
Northampton County, North Carolina,0,66,258,0,16,0
Onslow County, North Carolina,389,1227,324,29,0,0
Orange County, North Carolina,122,848,178,4,85,0
Pamlico County, North Carolina,0,123,75,39,0,0
Pasquotank County, North Carolina,123,230,467,0,29,0
Pender County, North Carolina,87,414,288,0,0,0
Perquimans County, North Carolina,0,160,20,0,0,0
Person County, North Carolina,3,328,330,11,0,0
Pitt County, North Carolina,116,841,954,0,14,0
Polk County, North Carolina,4,122,6,0,0,0
Randolph County, North Carolina,305,1191,134,3,9,0
Richmond County, North Carolina,0,321,336,19,0,0
Robeson County, North Carolina,110,329,671,958,27,0
Rockingham County, North Carolina,78,912,312,24,0,0
Rowan County, North Carolina,257,1056,403,30,0,0
Rutherford County, North Carolina,31,877,173,0,0,0
Sampson County, North Carolina,132,190,332,11,10,0
Scotland County, North Carolina,0,241,293,65,0,0
Stanly County, North Carolina,54,674,158,0,25,0
Stokes County, North Carolina,0,581,19,0,13,0
Surry County, North Carolina,152,771,21,0,16,0
Swain County, North Carolina,0,157,26,29,0,0
Transylvania County, North Carolina,21,305,45,0,13,0
Tyrrell County, North Carolina,0,39,74,0,0,0
Union County, North Carolina,301,2591,456,0,35,0
Vance County, North Carolina,8,247,562,0,0,0
Wake County, North Carolina,1276,6342,3364,112,525,0
Warren County, North Carolina,12,53,181,38,0,0
Washington County, North Carolina,0,130,219,0,0,0
Watauga County, North Carolina,22,328,1,0,0,0
Wayne County, North Carolina,141,680,892,4,14,0
Wilkes County, North Carolina,64,613,25,0,0,0
Wilson County, North Carolina,208,385,403,0,13,0
Yadkin County, North Carolina,74,393,5,0,0,0
Yancey County, North Carolina,0,128,24,0,0,0
Adams County, North Dakota,0,14,0,0,0,0
Barnes County, North Dakota,0,66,1,0,0,0
Benson County, North Dakota,0,46,0,35,0,0
Billings County, North Dakota,0,12,0,0,0,0
Bottineau County, North Dakota,0,57,0,0,0,0
Bowman County, North Dakota,0,45,0,0,0,0
Burke County, North Dakota,3,20,0,0,0,0
Burleigh County, North Dakota,2,994,6,28,0,0
Cass County, North Dakota,64,1266,79,34,0,0
Cavalier County, North Dakota,0,22,0,0,0,0
Dickey County, North Dakota,0,20,0,4,0,0
Divide County, North Dakota,0,11,0,0,0,0
Dunn County, North Dakota,0,42,0,3,0,0
Eddy County, North Dakota,0,41,0,0,0,0
Emmons County, North Dakota,0,77,0,1,0,0
Foster County, North Dakota,0,57,0,0,0,0
Golden Valley County, North Dakota,0,44,0,1,0,0
Grand Forks County, North Dakota,44,501,21,27,0,0
Grant County, North Dakota,0,35,0,0,0,0
Griggs County, North Dakota,0,27,0,0,0,0
Hettinger County, North Dakota,0,23,0,0,0,0
Kidder County, North Dakota,0,11,0,0,0,0
LaMoure County, North Dakota,5,64,1,0,0,0
Logan County, North Dakota,0,17,0,0,0,0
McHenry County, North Dakota,0,75,0,0,0,0
McIntosh County, North Dakota,0,9,0,0,0,0
McKenzie County, North Dakota,0,84,0,36,0,0
McLean County, North Dakota,0,106,0,5,0,0
Mercer County, North Dakota,0,77,0,0,0,0
Morton County, North Dakota,0,296,0,1,0,0
Mountrail County, North Dakota,66,38,0,59,0,0
Nelson County, North Dakota,0,39,2,0,0,0
Oliver County, North Dakota,0,6,0,0,0,0
Pembina County, North Dakota,22,40,0,4,0,0
Pierce County, North Dakota,2,53,0,0,0,0
Ramsey County, North Dakota,5,162,1,0,0,0
Ransom County, North Dakota,0,98,0,0,0,0
Renville County, North Dakota,0,29,0,0,0,0
Richland County, North Dakota,7,147,0,0,0,0
Rolette County, North Dakota,1,28,0,128,0,0
Sargent County, North Dakota,0,62,0,0,8,0
Sheridan County, North Dakota,0,24,0,0,0,0
Sioux County, North Dakota,0,10,0,50,0,0
Slope County, North Dakota,0,15,0,0,0,0
Stark County, North Dakota,10,296,0,0,0,0
Steele County, North Dakota,0,35,0,0,0,0
Stutsman County, North Dakota,11,139,0,9,11,0
Towner County, North Dakota,0,30,0,0,0,0
Traill County, North Dakota,5,107,0,6,0,0
Walsh County, North Dakota,3,141,0,0,0,0
Ward County, North Dakota,10,626,83,5,0,0
Wells County, North Dakota,0,89,0,0,0,0
Williams County, North Dakota,0,224,0,11,0,0
Adams County, Ohio,0,413,8,0,0,0
Allen County, Ohio,84,1150,229,0,0,0
Ashland County, Ohio,13,884,9,0,0,0
Ashtabula County, Ohio,68,1309,88,0,28,0
Athens County, Ohio,48,382,0,0,0,0
Auglaize County, Ohio,11,562,0,0,0,0
Belmont County, Ohio,15,911,199,15,0,0
Brown County, Ohio,30,426,0,0,0,0
Butler County, Ohio,179,3928,577,0,72,0
Carroll County, Ohio,0,444,0,0,0,0
Champaign County, Ohio,9,432,0,0,0,0
Clark County, Ohio,49,1551,225,0,23,0
Clermont County, Ohio,102,2814,12,0,103,0
Clinton County, Ohio,13,548,30,0,0,0
Columbiana County, Ohio,25,1327,18,0,18,0
Coshocton County, Ohio,13,481,0,0,0,0
Crawford County, Ohio,0,646,0,0,0,0
Cuyahoga County, Ohio,1070,9589,7589,43,397,0
Darke County, Ohio,30,680,3,0,0,0
Defiance County, Ohio,99,362,3,0,0,0
Delaware County, Ohio,19,1955,132,15,41,0
Erie County, Ohio,79,796,92,0,0,0
Fairfield County, Ohio,25,2044,364,10,0,0
Fayette County, Ohio,0,402,3,0,0,0
Franklin County, Ohio,853,8111,5155,78,485,0
Fulton County, Ohio,97,702,10,0,0,0
Gallia County, Ohio,22,331,66,0,0,0
Geauga County, Ohio,0,1457,20,0,5,0
Greene County, Ohio,60,1618,139,0,100,0
Guernsey County, Ohio,0,489,0,0,0,0
Hamilton County, Ohio,299,5891,4401,19,169,0
Hancock County, Ohio,95,680,0,0,0,0
Hardin County, Ohio,8,375,2,0,0,0
Harrison County, Ohio,0,182,19,0,0,0
Henry County, Ohio,58,388,8,0,0,0
Highland County, Ohio,0,607,0,0,0,0
Hocking County, Ohio,0,495,0,0,0,0
Holmes County, Ohio,36,396,0,0,0,0
Huron County, Ohio,29,737,5,0,0,0
Jackson County, Ohio,8,473,0,0,0,0
Jefferson County, Ohio,0,809,105,0,19,0
Knox County, Ohio,0,585,1,0,14,0
Lake County, Ohio,124,2903,108,0,28,0
Lawrence County, Ohio,0,831,55,0,9,0
Licking County, Ohio,23,1972,158,0,18,0
Logan County, Ohio,0,595,62,0,4,0
Lorain County, Ohio,663,3288,830,0,106,0
Lucas County, Ohio,589,3254,2076,21,67,0
Madison County, Ohio,10,688,155,0,13,0
Mahoning County, Ohio,352,1932,942,0,40,0
Marion County, Ohio,32,810,204,0,0,0
Medina County, Ohio,42,2389,30,31,0,0
Meigs County, Ohio,17,296,0,0,0,0
Mercer County, Ohio,0,703,3,0,5,0
Miami County, Ohio,21,1291,69,0,22,0
Monroe County, Ohio,0,194,0,0,0,0
Montgomery County, Ohio,247,4091,2500,0,163,0
Morgan County, Ohio,0,158,0,0,0,0
Morrow County, Ohio,0,469,5,0,0,0
Muskingum County, Ohio,27,971,71,0,22,0
Noble County, Ohio,31,180,89,0,0,0
Ottawa County, Ohio,59,443,18,0,0,0
Paulding County, Ohio,9,237,0,0,0,0
Perry County, Ohio,0,710,0,0,0,0
Pickaway County, Ohio,25,947,153,10,27,0
Pike County, Ohio,0,348,1,15,3,0
Portage County, Ohio,6,2505,80,0,15,0
Preble County, Ohio,0,682,15,0,0,0
Putnam County, Ohio,55,457,26,0,0,0
Richland County, Ohio,39,1360,499,0,29,0
Ross County, Ohio,21,864,184,9,0,0
Sandusky County, Ohio,74,898,75,0,0,0
Scioto County, Ohio,5,795,95,0,0,0
Seneca County, Ohio,43,611,19,0,0,0
Shelby County, Ohio,22,705,11,9,0,0
Stark County, Ohio,97,4464,614,13,0,0
Summit County, Ohio,237,5735,1752,9,253,0
Trumbull County, Ohio,30,2288,469,6,0,0
Tuscarawas County, Ohio,0,1078,61,16,9,0
Union County, Ohio,16,777,65,0,11,0
Van Wert County, Ohio,16,448,7,0,0,0
Vinton County, Ohio,0,233,0,0,0,0
Warren County, Ohio,82,2643,56,3,140,0
Washington County, Ohio,58,723,0,0,0,0
Wayne County, Ohio,35,1119,23,0,6,0
Williams County, Ohio,11,522,0,3,0,0
Wood County, Ohio,132,1340,168,8,3,0
Wyandot County, Ohio,17,285,0,0,11,0
Adair County, Oklahoma,5,93,1,103,22,0
Alfalfa County, Oklahoma,19,58,0,0,0,0
Atoka County, Oklahoma,10,162,20,30,0,0
Beaver County, Oklahoma,28,64,0,0,0,0
Beckham County, Oklahoma,29,178,8,0,0,0
Blaine County, Oklahoma,7,61,1,1,0,0
Bryan County, Oklahoma,13,230,6,52,0,0
Caddo County, Oklahoma,49,260,3,126,0,0
Canadian County, Oklahoma,300,1186,186,65,119,0
Carter County, Oklahoma,23,356,31,78,0,0
Cherokee County, Oklahoma,5,207,1,141,0,0
Choctaw County, Oklahoma,0,78,64,28,0,0
Cimarron County, Oklahoma,13,18,0,0,0,0
Cleveland County, Oklahoma,385,1878,272,86,125,12
Coal County, Oklahoma,0,62,1,16,0,0
Comanche County, Oklahoma,157,872,418,65,5,10
Cotton County, Oklahoma,12,75,0,0,0,0
Craig County, Oklahoma,7,110,6,35,6,2
Creek County, Oklahoma,84,641,22,85,4,0
Custer County, Oklahoma,0,105,0,0,21,0
Delaware County, Oklahoma,12,355,0,146,8,0
Dewey County, Oklahoma,11,56,0,1,0,0
Ellis County, Oklahoma,3,32,0,0,0,0
Garfield County, Oklahoma,122,524,47,47,33,57
Garvin County, Oklahoma,12,260,23,52,0,0
Grady County, Oklahoma,68,650,8,65,0,5
Grant County, Oklahoma,6,54,2,0,0,0
Greer County, Oklahoma,19,67,0,0,0,0
Harmon County, Oklahoma,30,9,3,0,0,0
Harper County, Oklahoma,13,50,0,0,0,0
Haskell County, Oklahoma,0,117,0,14,0,0
Hughes County, Oklahoma,15,111,4,57,0,0
Jackson County, Oklahoma,60,114,14,0,0,0
Jefferson County, Oklahoma,0,55,0,9,0,0
Johnston County, Oklahoma,3,24,0,22,0,0
Kay County, Oklahoma,34,570,11,137,0,0
Kingfisher County, Oklahoma,24,129,0,32,0,6
Kiowa County, Oklahoma,31,80,11,3,0,0
Latimer County, Oklahoma,9,147,0,46,0,0
Le Flore County, Oklahoma,40,366,2,42,0,0
Lincoln County, Oklahoma,0,479,26,34,0,0
Logan County, Oklahoma,19,520,69,16,0,2
Love County, Oklahoma,29,49,0,38,0,0
McClain County, Oklahoma,39,339,0,103,26,0
McCurtain County, Oklahoma,49,242,76,80,0,0
McIntosh County, Oklahoma,3,191,21,43,0,0
Major County, Oklahoma,10,87,0,0,0,0
Marshall County, Oklahoma,52,149,32,17,0,0
Mayes County, Oklahoma,43,299,0,50,0,0
Murray County, Oklahoma,33,154,18,23,0,0
Muskogee County, Oklahoma,74,409,105,191,34,0
Noble County, Oklahoma,0,164,0,10,0,0
Nowata County, Oklahoma,4,90,18,14,0,16
Okfuskee County, Oklahoma,7,92,35,21,0,0
Oklahoma County, Oklahoma,1693,4505,1827,322,194,0
Okmulgee County, Oklahoma,0,297,89,96,0,0
Osage County, Oklahoma,33,370,41,204,0,10
Ottawa County, Oklahoma,29,211,0,54,3,7
Pawnee County, Oklahoma,11,133,11,30,0,0
Payne County, Oklahoma,51,503,61,27,4,0
Pittsburg County, Oklahoma,43,410,19,70,17,4
Pontotoc County, Oklahoma,5,220,15,23,19,0
Pottawatomie County, Oklahoma,74,530,7,159,0,0
Pushmataha County, Oklahoma,4,136,0,21,0,0
Roger Mills County, Oklahoma,6,56,0,0,0,0
Rogers County, Oklahoma,58,772,0,182,3,0
Seminole County, Oklahoma,36,270,39,59,5,0
Sequoyah County, Oklahoma,10,283,25,66,0,0
Stephens County, Oklahoma,101,508,46,113,0,0
Texas County, Oklahoma,73,80,1,1,15,0
Tillman County, Oklahoma,35,53,27,0,0,0
Tulsa County, Oklahoma,672,4624,1088,416,116,12
Wagoner County, Oklahoma,110,657,44,165,119,0
Washington County, Oklahoma,83,456,88,25,10,0
Washita County, Oklahoma,30,72,0,3,0,0
Woods County, Oklahoma,0,123,5,16,1,0
Woodward County, Oklahoma,2,170,5,0,0,0
Baker County, Oregon,0,170,0,7,0,0
Benton County, Oregon,60,849,22,14,25,0
Clackamas County, Oregon,703,4300,125,45,206,67
Clatsop County, Oregon,91,460,0,10,0,0
Columbia County, Oregon,50,670,0,18,0,0
Coos County, Oregon,66,556,0,21,0,0
Crook County, Oregon,71,231,0,0,0,0
Curry County, Oregon,0,102,0,13,0,0
Deschutes County, Oregon,259,1673,0,66,0,0
Douglas County, Oregon,170,1111,0,6,12,0
Gilliam County, Oregon,0,19,0,0,0,0
Grant County, Oregon,13,115,0,2,0,0
Harney County, Oregon,16,154,0,7,0,0
Hood River County, Oregon,133,160,0,0,0,0
Jackson County, Oregon,438,1940,26,0,27,9
Jefferson County, Oregon,116,97,10,77,0,0
Josephine County, Oregon,149,1002,0,15,0,0
Klamath County, Oregon,112,753,21,31,6,0
Lake County, Oregon,4,28,0,0,0,0
Lane County, Oregon,503,3209,52,45,81,30
Lincoln County, Oregon,105,408,7,9,0,0
Linn County, Oregon,228,1250,69,116,9,39
Malheur County, Oregon,335,270,34,4,4,0
Marion County, Oregon,1574,2650,80,165,75,0
Morrow County, Oregon,68,78,0,0,0,0
Multnomah County, Oregon,1568,4408,879,95,627,141
Polk County, Oregon,256,732,0,11,41,0
Sherman County, Oregon,0,19,1,0,0,0
Tillamook County, Oregon,76,241,0,9,0,0
Umatilla County, Oregon,478,943,43,31,8,4
Union County, Oregon,14,393,11,0,0,0
Wallowa County, Oregon,0,81,0,0,0,0
Wasco County, Oregon,90,248,14,59,0,0
Washington County, Oregon,1551,4843,113,110,590,37
Wheeler County, Oregon,0,11,0,0,0,0
Yamhill County, Oregon,301,977,48,17,42,18
Adams County, Pennsylvania,175,1194,2,8,0,0
Allegheny County, Pennsylvania,342,10984,3462,28,375,0
Armstrong County, Pennsylvania,0,773,1,0,0,0
Beaver County, Pennsylvania,18,1846,89,0,0,0
Bedford County, Pennsylvania,9,567,8,0,0,0
Berks County, Pennsylvania,1165,3841,303,16,68,4
Blair County, Pennsylvania,4,1119,33,0,0,0
Bradford County, Pennsylvania,0,702,7,0,0,0
Bucks County, Pennsylvania,598,7830,456,0,315,0
Butler County, Pennsylvania,27,2388,71,0,37,0
Cambria County, Pennsylvania,26,1699,137,0,0,0
Cameron County, Pennsylvania,0,55,0,0,0,0
Carbon County, Pennsylvania,124,666,2,0,0,0
Centre County, Pennsylvania,64,1692,58,0,45,0
Chester County, Pennsylvania,491,5616,503,11,142,0
Clarion County, Pennsylvania,6,363,0,1,0,0
Clearfield County, Pennsylvania,48,879,0,0,11,0
Clinton County, Pennsylvania,17,309,0,0,10,0
Columbia County, Pennsylvania,0,677,42,0,5,0
Crawford County, Pennsylvania,41,944,15,3,0,0
Cumberland County, Pennsylvania,83,2313,46,0,55,0
Dauphin County, Pennsylvania,330,2088,949,8,130,0
Delaware County, Pennsylvania,395,5277,2100,18,297,0
Elk County, Pennsylvania,0,452,0,0,0,0
Erie County, Pennsylvania,191,3116,252,0,27,1
Fayette County, Pennsylvania,28,1493,85,7,0,0
Forest County, Pennsylvania,0,75,5,0,0,0
Franklin County, Pennsylvania,175,1592,212,0,0,0
Fulton County, Pennsylvania,2,205,2,3,0,0
Greene County, Pennsylvania,16,411,0,2,0,0
Huntingdon County, Pennsylvania,18,395,67,0,22,0
Indiana County, Pennsylvania,14,772,68,0,0,3
Jefferson County, Pennsylvania,5,481,0,0,0,0
Juniata County, Pennsylvania,4,287,0,0,0,0
Lackawanna County, Pennsylvania,274,2285,44,36,76,0
Lancaster County, Pennsylvania,1241,4994,336,0,132,0
Lawrence County, Pennsylvania,4,949,43,0,0,0
Lebanon County, Pennsylvania,157,1185,38,0,12,0
Lehigh County, Pennsylvania,1229,2562,430,25,139,0
Luzerne County, Pennsylvania,448,3292,309,17,41,0
Lycoming County, Pennsylvania,67,1164,100,0,7,0
McKean County, Pennsylvania,0,602,100,0,10,0
Mercer County, Pennsylvania,40,1060,229,11,23,0
Mifflin County, Pennsylvania,16,402,7,0,0,0
Monroe County, Pennsylvania,501,1960,490,0,12,0
Montgomery County, Pennsylvania,544,8334,1132,0,662,0
Montour County, Pennsylvania,17,226,23,0,19,0
Northampton County, Pennsylvania,506,2646,167,40,56,0
Northumberland County, Pennsylvania,42,1099,84,0,23,0
Perry County, Pennsylvania,18,594,3,0,0,0
Philadelphia County, Pennsylvania,3340,3391,12709,78,1137,52
Pike County, Pennsylvania,262,658,92,0,0,0
Potter County, Pennsylvania,0,260,8,0,0,0
Schuylkill County, Pennsylvania,56,1713,92,0,27,0
Snyder County, Pennsylvania,4,469,6,0,0,0
Somerset County, Pennsylvania,6,842,30,0,0,0
Sullivan County, Pennsylvania,0,59,12,0,0,0
Susquehanna County, Pennsylvania,11,618,3,0,0,0
Tioga County, Pennsylvania,0,556,2,2,0,0
