"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"1032","Upper Iowa University","Fayette","Iowa","52142",541,39,2,14,7,479
"428","Le Tourneau University","Longview","Texas","75607",539,7,1,4,10,517
"429","Lebanon Valley College","Annville","Pennsylvania","17003",539,4,2,12,8,513
"452","Lourdes College","Sylvania","Ohio","43560",537,38,3,3,19,474
"805","SUNY Health Science Center at Syracuse","Syracuse","New York","13210",537,40,2,26,14,455
"132","Carroll College (Helena, MT)","Helena","Montana","59625",536,1,1,5,11,518
"1107","Winthrop University","Rock Hill","South Carolina","29733",533,146,3,17,6,361
"694","Savannah State University","Savannah","Georgia","31404",531,501,1,5,6,18
"1093","Whitworth College","Spokane","Washington","99251",531,10,5,20,15,481
"140","Central College (Pella, IA)","Pella","Iowa","50219",530,8,1,7,10,504
"235","DeVry Institute of Tech (Decatur, GA)","Decatur","Georgia","30030",529,281,2,38,15,193
"353","Husson College","Bangor","Maine","4401",528,8,3,6,4,507
"839","Trinity University","San Antonio","Texas","78212",528,13,3,59,66,387
"456","Lubbock Christian University","Lubbock","Texas","79407",524,36,2,7,79,400
"156","Citadel Military College of South Carolina","Charleston","South Carolina","29409",523,31,2,16,23,451
"898","University of Illinois at Springfield","Springfield","Illinois","62794",523,33,6,38,9,437
"445","Longwood College","Farmville","Virginia","23901",522,23,6,12,9,472
"666","Roberts Wesleyan College","Rochester","New York","14624",522,49,1,6,15,451
"709","Skidmore College","Saratoga Spring","New York","12866",522,12,4,46,25,435
"174","College of New Rochelle","New Rochelle","New York","10805",521,299,2,53,88,79
"294","Franklin and Marshall College","Lancaster","Pennsylvania","17604",520,8,2,33,25,452
"425","Langston University","Langston","Oklahoma","73050",518,325,20,10,9,154
"969","University of Redlands","Redlands","California","92373",513,9,3,33,87,381
"531","Mount Holyoke College","South Hadley","Massachusetts","1075",512,25,3,80,36,368
"57","Beaver College","Glenside","Pennsylvania","19038",511,36,1,34,18,422
"279","Fayetteville State University","Fayetteville","North Carolina","28301",511,323,6,13,41,128
"564","North Georgia College","Dahlonega","Georgia","30597",510,26,2,10,14,458
"469","Mansfield University of Pennsylvania","Mansfield","Pennsylvania","16933",508,24,1,10,7,466
"663","Rivier College","Nashua","New Hampshire","3060",508,12,4,12,13,467
"565","North Park College and Theological Seminary","Chicago","Illinois","60625",507,33,2,85,50,337
"746","St Anselm College","Manchester","New Hampshire","3102",507,3,1,9,5,489
"753","St John's University (Collegeville, MN)","Collegeville","Minnesota","56321",507,8,1,16,7,475
"656","Research College of Nursing","Kansas City","Missouri","64132",505,28,10,20,13,434
"328","Hamilton College","Clinton","New York","13323",500,8,3,45,14,430
"462","Macalester College","Saint Paul","Minnesota","55105",500,12,2,45,17,424
"231","Denison University","Granville","Ohio","43023",499,26,1,18,8,446
"236","DeVry Institute of Tech (Irving, TX)","Irving","Texas","75038",499,104,3,47,128,217
"1109","Wofford College","Spartanburg","South Carolina","29303",498,19,3,32,5,439
"641","Purdue University, North Central Campus","Westville","Indiana","46391",497,17,5,7,22,446
"1000","University of Texas at Permian Basin","Odessa","Texas","79762",494,21,3,16,195,259
"173","College of Mount St Joseph","Mt St Joseph","Ohio","45051",493,14,1,1,3,474
"106","California Lutheran University","Thousand Oaks","California","91360",492,17,3,42,92,338
"239","DeVry Institute of Tech (Phoenix, AZ)","Phoenix","Arizona","85021",492,27,17,54,76,318
"325","Guilford College","Greensboro","North Carolina","27410",492,73,3,10,16,390
"1066","Wesleyan University","Middletown","Connecticut","6457",492,32,2,63,38,357
"510","Millikin University","Decatur","Illinois","62522",491,19,2,8,10,452
"318","Graceland College","Lamoni","Iowa","50140",490,14,2,7,19,448
"293","Franciscan University of Steubenville","Steubenville","Ohio","43952",489,4,4,9,25,447
"465","Maine Maritime Academy","Castine","Maine","4420",488,2,3,1,3,479
"807","SUNY Maritime College","Bronx","New York","10465",488,21,1,30,45,391
"358","Illinois Wesleyan University","Bloomington","Illinois","61702",485,19,3,34,14,415
"798","SUNY College at Potsdam","Potsdam","New York","13676",484,13,6,7,9,449
"221","Dakota State University","Madison","South Dakota","57042",483,7,7,11,6,452
"184","College of the Holy Cross","Worcester","Massachusetts","1610",481,9,1,47,27,397
"1053","Wartburg College","Waverly","Iowa","50677",481,6,2,3,4,466
"711","Smith College","Northampton","Massachusetts","1063",479,40,2,104,40,293
"764","St Mary's College of Maryland","St Marys Cy","Maryland","20686",475,19,1,23,16,416
"929","University of Minnesota, All Campuses","Minneapolis","Minnesota","55455",475,7,2,1,6,459
"848","United States Merchant Marine Academy","Kings Point","New York","11024",473,8,2,21,20,422
"54","Bates College","Lewiston","Maine","4240",471,1,1,31,15,423
"71","Berry College","Rome","Georgia","30149",471,20,1,12,11,427
"1024","University of Wisconsin-Parkside","Kenosha","Wisconsin","53141",465,13,4,33,20,395
"803","SUNY Empire State College","Saratoga Spg","New York","12866",462,33,6,14,25,384
"449","Louisiana State Univ in Shreveport","Shreveport","Louisiana","71115",461,94,1,7,29,330
"1091","Whitman College","Walla Walla","Washington","99362",460,4,2,52,22,380
"7","Albion College","Albion","Michigan","49224",458,8,2,19,7,422
"13","American International College","Springfield","Massachusetts","1109",452,81,2,22,41,306
"1083","Western State College Colorado","Gunnison","Colorado","81231",452,6,4,4,14,424
"76","Bethune Cookman College","Daytona Beach","Florida","32115",451,393,1,18,9,30
"380","ITT Technical Institute (Indianapolis, IN)","Indianapolis","Indiana","46268",451,74,1,8,31,337
"971","University of Richmond","Richmond","Virginia","23173",451,33,1,32,11,374
"513","Minot State University","Minot","North Dakota","58701",450,8,18,11,14,399
"180","College of St Elizabeth","Convent Sta","New Jersey","7961",449,66,1,48,77,257
"414","King's College (Wilkes-Barre, PA)","Wilkes-Barre","Pennsylvania","18711",446,6,1,5,10,424
"70","Berklee College of Music","Boston","Massachusetts","2215",443,23,4,33,59,324
"262","Eastern New Mexico U, All Campuses","Portales","New Mexico","88130",442,14,6,12,122,288
"50","Barnard College","New York","New York","10027",439,16,1,136,33,253
"123","California State University System Office","Berkeley","California","94720",438,13,1,40,110,274
"309","Georgia Southwestern State University","Americus","Georgia","31709",438,109,2,13,4,310
"208","Cooper Union","New York","New York","10003",437,11,1,158,29,238
"25","Art Institute of Atlanta","Atlanta","Georgia","30326",436,187,1,19,43,186
"150","Chapman University","Orange","California","92666",436,20,1,68,66,281
"32","Athens State College","Athens","Alabama","35611",435,23,7,5,6,394
"756","St Joseph's College (Rensselaer, IN)","Rensselaer","Indiana","47978",431,16,1,5,11,398
"149","Champlain College","Burlington","Vermont","5401",429,6,1,10,15,397
"736","Southwestern College (Winfield, KS)","Winfield","Kansas","67156",429,32,4,15,29,349
"728","Southern Oregon State College","Ashland","Oregon","97520",428,6,8,10,11,393
"44","Avila College","Kansas City","Missouri","64145",426,43,2,7,19,355
